Product name,Brand name,Package spec,Organic,Package code,Department,Category,Package code type,
DRY Sparkling Vanilla Bean,DRY Sparkling,12 fl oz (355ml),No,851818001099,Grocery and Beverages,Beverages,UPC-A,
DRY Sparkling Vanilla Bean,DRY Sparkling,48 fl oz (1.42L),No,851818001426,Grocery and Beverages,Beverages,UPC-A,
DRY Sparkling Vanilla Bean,DRY Sparkling,12 fl oz (355ml),No,851818001631,Grocery and Beverages,Beverages,UPC-A,
DRY Sparkling Vanilla Bean,DRY Sparkling,48 fl oz (1.42L),No,851818001907,Grocery and Beverages,Beverages,UPC-A,
Fuji Apple DRY Sparkling,DRY Sparkling,12 fl oz (355 mL),No,851818001525,Grocery and Beverages,Beverages,UPC-A,
Fuji Apple DRY Sparkling,DRY Sparkling,48 fl oz (1.42 L),No,851818001532,Grocery and Beverages,Beverages,UPC-A,
Balinese Sweetened Cacao Nibs,Earth Circle Organics,1 lb,Yes,813313011263,Bulk Foods,Wholesale Ingredients,UPC-A,
Balinese Sweetened Cacao Nibs,Earth Circle Organics,8 oz,Yes,813313011270,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Balinese Cacao Cashew Cluster,Earth Circle Organics,8 oz ( 226.7 g),Yes,813313011621,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Balinese Cacao Cashew Cluster,Earth Circle Organics,22 lb (10 kg),Yes,813313013656,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Raw Balinese Cacao Butter,Earth Circle Organics,50.7 lb ( 23 kg),Yes,813313011188,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Raw Balinese Cacao Butter,Earth Circle Organics,250 g,Yes,813313011249,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Raw Balinese Cacao Butter,Earth Circle Organics,55 lb,Yes,813313011805,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Raw Balinese Cacao Butter,Earth Circle Organics,5 lb ( 2.3 kg),Yes,813313012185,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Raw Balinese Cacao Butter,Earth Circle Organics,16 oz (454 g),Yes,813313012192,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Lucuma Powder Raw,Earth Circle Organics,5 lb ( 2.2 kg),Yes,813313013021,Bulk Foods,Wholesale Ingredients,UPC-A,
Organic Lucuma Powder Raw,Earth Circle Organics,8 oz (227 g),Yes,813313013366,Bulk Foods,Wholesale Ingredients,UPC-A,
